IDETOR,IDEAPO
00001054L,04481215X
00001635W,67413636S
00002671A,04228943W
00003444V,01578697T
00006347E,25438905P
00006915S,31206217R
00009928S,04213199J
00010087J,48522740P
00011938R,85147380T
00012655M,68143219S
00013554F,97352164H
00014666S,54510007F
00014891X,67415794B
00015961E,01255899F
00016510L,99566635A
00016786L,17062366T
00019812D,73790681B
00020005H,34078637C
00020142V,06426780M
00020220A,13703127A
00020764H,64706880Z
00021781T,15301299C
00021985C,73903967E
00022505B,52535863E
00026171C,65926002K
00026965D,09594517K
00027094T,42348216H
00027743M,79031253X
00028473E,61557816H
00029636N,70806214R
00029968E,88162304S
00031849V,20693385D
00032539V,67187011D
00032662W,32232425H
00032725L,34603348D
00033097T,54644669G
00033444W,56988768N
00034268K,56753836W
00034490J,27838790G
00034934C,40351718N
00036328B,41853149A
00036836J,61184975F
00036976S,13037879F
00037580K,57378526N
00037837W,80672631Q
00037853H,02199395C
00038110E,56955137F
00039142L,30321513S
00039272B,06109635F
00039753D,38713418W
00039849J,86294229T
00041580L,45162202T
00042583X,15924004T
00042674D,33721181F
00042737A,30384064Y
00043307K,91435383X
00043564W,97934988E
00043713J,26108479Y
00045923S,29882662G
00048266N,37095506W
00049434F,24862184N
00049526F,25559419W
00050330Y,69216107E
00050391K,67805224M
00051476W,10727456A
00052208K,74425489L
00052672W,84883657H
00053311C,85403289B
00054482H,79338723Q
00056047L,06378098Z
00057198C,18056994Q
00057527G,34842396H
00058278L,61994455W
00059981C,48712065C
00060443E,93980992W
00061124J,31965144C
00061868K,88197539Z
00064809H,77818820E
00066318D,28189013Y
00066902H,76522150T
00066961P,53795540N
00067916C,42784450B
00069074M,89579875G
00070610T,89198396A
00071729S,73455351K
00072301N,79628915V
00074607H,39594892R
00075272Q,95791062H
00076582S,64491390B
00077237A,95863567G
00077799J,35453929G
00077818D,91825334L
00078906Q,59764761C
00079484L,24711944P
00080046Y,20865256R
00080480A,29310414L
00080904J,79327364L
00081756Z,74988241F
00082111R,03772359Z
00082196V,34405833H
00082814Z,69326623T
00083252S,33437473G
00083292D,79720101P
00083412Z,61769421T
00085197M,22385643L
00087602H,35049759J
00088523L,81901641K
00089140S,85019382C
00090783W,89683848V
00091023N,22330693Q
00091039M,37696667N
00091757X,85516756L
00092261P,03022116P
00093145H,61477064L
00093506B,16688424S
00095137D,12602793N
00096619L,56777028X
00098175B,51620621L
00098313B,40120016N
00098525Q,22940680C
00098862P,26478316A
00098940V,86718494F
00099584V,26049391M
00100904A,37248611L
00101745Q,11778844S
00102983N,23892014M
00104639N,77998270A
00104869N,64123625Q
00105090A,32674172G
00106469W,11734959Z
00108070Q,56273083H
00108968V,43197725E
00109760G,38163370E
00109826R,90191867N
00110510H,32507675G
00112147E,40728607T
00112645Z,53501389P
00114431Y,98116032X
00115796Z,44706541S
00116618P,44932070Y
00117388L,42123869J
00118493C,22016250Y
00118920X,34879812J
00119733H,85977720V
00119787A,72013133H
00121721M,38865053K
00122929V,55774143V
00123007A,72271571M
00123990C,61379713G
00124084E,56224442E
00124241H,88716854N
00124607Q,11515567L
00126880N,60760453L
00127228S,56440609N
00128218Q,60604323J
00128411W,42432628C
00129806V,52966545Y
00132124N,83578364K
00132518S,28846299K
00134120F,73088940T
00135895B,41407480M
00138549C,92850717Q
00139358R,80779070B
00140600R,16276243V
00140972M,83743949Y
00143787Z,85057121Q
00143938G,45408557W
00145052Z,16188815N
00145122S,54988143L
00145617G,55449057J
00148891N,87220559M
00149343G,03401788L
00150392H,77421430A
00152674T,73353045L
00154397K,43156259W
00155416M,83167732P
00155573R,30366016J
00156275J,29247740C
00156844F,92049475W
00156855H,90517111J
00157324G,59858387J
00157443P,31557815K
00157670M,47760457Z
00158231Z,78751628L
00158663D,81790139T
00158804N,51897011H
00159763M,76351473Y
00163024T,70735182Q
00163352Y,42537204S
00163968R,39363269B
00164321D,35006877A
00165662Q,39325316P
00165879A,12850017D
00166555N,58615033Q
00166679K,93432468M
00166836V,08629513M
00166885C,05481322P
00167019Q,94774989Q
00167357D,10041553Y
00169567B,78859971D
00170477R,61543422E
00174232F,77861790M
00176313H,92974197D
00177989S,93483136G
00178495S,00822050F
00179854V,26078107V
00180548K,25396181H
00182558F,88707232G
00183538K,65414315S
00184756C,32722566Y
00185551X,67251679R
00185636A,97917250V
00187773R,37076865Z
00187972Q,81883794E
00188157V,24206442T
00190067H,06458909A
00190249Q,45892508X
00191799W,35379444Q
00191965F,92363018D
00192494F,73346678T
00193007Z,54962585Z
00193015E,95767074L
00193854X,33173220K
00194708J,11559695X
00194986S,14697532A
00195996J,91864134H
00196724M,22142296N
00197875Y,30344569W
00198278H,82967975Y
00198964Z,17353588L
00202239T,50456297R
00203367R,24299620M
00204079T,82554285V
00204153M,31471345P
00204165V,85784563Z
00205830A,78842468D
00207932N,64368158J
00209000E,17820239T
00209586X,50291010S
00210105T,57403731D
00210444V,56012619Y
00213381X,07190533C
00213413L,13119374J
00216243C,79616464D
00216832B,46243132E
00217333Y,37177701H
00219846N,64679597D
00221601L,65447195M
00221603K,43418043T
00223204N,82976457R
00223679G,35131973W
00224350P,90436813P
00224739Y,86053667H
00225462Q,54499397T
00225757N,70359968R
00226564Z,07654246F
00227494R,34595819R
00227617D,10423848H
00228298T,68295861Y
00228868H,46700049K
00229245G,61114986F
00230181C,97598798T
00233669N,00401814G
00234201S,01565860C
00236080P,80813823B
